"x","y"
"3477.526123","1.74E-14"
"3479.381536","1.65E-14"
"3481.236948","1.67E-14"
"3483.092361","1.66E-14"
"3484.947773","1.70E-14"
"3486.803186","1.85E-14"
"3488.658598","1.82E-14"
"3490.514011","1.97E-14"
"3492.369423","1.82E-14"
"3494.224836","1.64E-14"
"3496.080248","1.54E-14"
"3497.935661","1.72E-14"
"3499.791073","1.71E-14"
"3501.646485","1.48E-14"
"3503.501898","1.44E-14"
"3505.35731","1.68E-14"
"3507.212723","1.63E-14"
"3509.068135","1.54E-14"
"3510.923548","1.51E-14"
"3512.77896","1.53E-14"
"3514.634373","1.58E-14"
"3516.489785","1.57E-14"
"3518.345198","1.71E-14"
"3520.20061","1.59E-14"
"3522.056023","1.48E-14"
"3523.911435","1.72E-14"
"3525.766848","1.73E-14"
"3527.62226","1.38E-14"
"3529.477673","1.39E-14"
"3531.333085","1.52E-14"
"3533.188498","1.58E-14"
"3535.04391","1.64E-14"
"3536.899323","1.62E-14"
"3538.754735","1.73E-14"
"3540.610148","1.73E-14"
"3542.46556","1.56E-14"
"3544.320973","1.58E-14"
"3546.176385","1.58E-14"
"3548.031798","1.60E-14"
"3549.88721","1.58E-14"
"3551.742623","1.59E-14"
"3553.598035","1.59E-14"
"3555.453448","1.64E-14"
"3557.30886","1.72E-14"
"3559.164273","1.72E-14"
"3561.019685","1.68E-14"
"3562.875098","1.61E-14"
"3564.73051","1.64E-14"
"3566.585923","1.75E-14"
"3568.441335","1.80E-14"
"3570.296748","1.68E-14"
"3572.15216","1.85E-14"
"3574.007573","1.75E-14"
"3575.862985","1.71E-14"
"3577.718398","1.61E-14"
"3579.57381","1.69E-14"
"3581.429223","1.67E-14"
"3583.284635","1.60E-14"
"3585.140048","1.67E-14"
"3586.99546","1.75E-14"
"3588.850873","1.74E-14"
"3590.706285","1.78E-14"
"3592.561698","1.87E-14"
"3594.41711","1.67E-14"
"3596.272523","1.63E-14"
"3598.127935","1.60E-14"
"3599.983348","1.62E-14"
"3601.83876","1.64E-14"
"3603.694173","1.67E-14"
"3605.549585","1.62E-14"
"3607.404998","1.70E-14"
"3609.26041","1.81E-14"
"3611.115823","1.65E-14"
"3612.971235","1.64E-14"
"3614.826648","1.64E-14"
"3616.68206","1.66E-14"
"3618.537473","1.64E-14"
"3620.392885","1.66E-14"
"3622.248298","1.68E-14"
"3624.10371","1.54E-14"
"3625.959123","1.54E-14"
"3627.814535","1.61E-14"
"3629.669948","1.47E-14"
"3631.52536","1.48E-14"
"3633.380773","1.54E-14"
"3635.236185","1.60E-14"
"3637.091598","1.66E-14"
"3638.94701","1.59E-14"
"3640.802423","1.48E-14"
"3642.657835","1.56E-14"
"3644.513248","1.50E-14"
"3646.36866","1.69E-14"
"3648.224073","1.71E-14"
"3650.079485","1.54E-14"
"3651.934898","1.50E-14"
"3653.79031","1.59E-14"
"3655.645723","1.58E-14"
"3657.501135","1.46E-14"
"3659.356548","1.51E-14"
"3661.21196","1.50E-14"
